Name,EnrollmentCount,Category,FullAddress,Latitude,Longitude
Swanville High School,97,Tiny,"Swanville Elementary School, 602 De Graff Ave, Swanville, MN 56382, USA",45.9135693,-94.6406873
Tartan High School,1581,Large,"Tartan Senior High School, 828 Greenway Ave N, Oakdale, MN 55128-6202, USA",44.961396,-92.972155
Thief River Falls High School,550,Medium,"Thief River Falls, MN 56701, USA",48.1191353,-96.1811473
Totino-Grace High School,802,Medium,"Totino-Grace High School, 1350 Gardena Ave NE, Fridley, MN 55432-5899, USA",45.073337,-93.235193
Tracy-Milroy-Balaton High School,221,Small,"Tracy Secondary School, 934 County Road 73, Tracy, MN 56175-1710, USA",44.2250079,-95.6310347
TrekNorth High School,95,Tiny,"Treknorth High School, 2518 Hannah Ave NW, Bemidji, MN 56601-2110, USA",47.4925724,-94.9058774
Tri-County High School,66,Tiny,"Tri-County High School, 303 Pembina Trl S, Karlstad, MN 56732-4405, USA",48.5749843,-96.5235527
Trinity School at River Ridge,220,Small,"Trinity School at River Ridge, 601 River Ridge Pkwy, Eagan, MN 55121, USA",44.859884,-93.109645
Triton High School,283,Small,"Triton High School, 813 W Highway St, Dodge Center, MN 55927-9153, USA",44.0349107,-92.8656336
Truman High School,93,Tiny,"Minnesota, USA",46.729553,-94.6858998
Twin Cities Academy High School,110,Tiny,"Twin Cities Academy, 835 E 5th St, St Paul, MN 55106, USA",44.9594755,-93.0649783
Two Harbors High School,308,Small,"Two Harbors High School, 1640 Hwy 2 # 100, Two Harbors, MN 55616-4017, USA",47.0503977,-91.6672672
Ulen-Hitterdal High School,82,Tiny,"Ulen-Hitterdal Elementary School, 27 2nd St NW, Ulen, MN 56585, USA",47.0787497,-96.256731
Underwood High School,138,Tiny,"Underwood High School, 100 Southern Ave, Underwood, MN 56586-7013, USA",46.2819444,-95.8708333
United South Central High School,210,Small,"United South Central High School, 250 2nd Ave SW, Wells, MN 56097-1922, USA",43.7427325,-93.7293916
Upsala High School,124,Tiny,"Upsala High School, 415 N Main St, Upsala, MN 56384-8420, USA",45.8075213,-94.5715552
Verndale High School,126,Tiny,"Verndale High School, 411 County Road 23, Verndale, MN 56481-3000, USA",46.3945497,-95.0172222
Virginia High School,460,Small,"Virginia Secondary School, 411 S 5th Ave, Virginia, MN 55792-2768, USA",47.520833,-92.538889
Visitation High School,606,Medium,"Mendota Heights, MN, USA",44.8835768,-93.1382749
Wabasha-Kellogg High School,208,Small,"Wabasha Kellogg High School, Wabasha, MN 55981, USA",44.3582997,-92.0109994
Wabasso High School,134,Tiny,"Wabasso Secondary School, 1333 May St, Wabasso, MN 56293, USA",44.4050723,-95.2554057
Waconia High School,996,Medium,"Waconia Senior High School, 1400 Community Dr, Waconia, MN 55387-1158, USA",44.8358031,-93.8110895
Wadena-Deer Creek High School,256,Small,"Wadena-Deer Creek Senior High School, 600 Colfax Ave SW, Wadena, MN 56482-1700, USA",46.4418857,-95.1469165
Walker-Hackensack-Akeley H.S.,207,Small,"Walker-Hackensack-Akeley School, 301 4th St, Walker, MN 56484, USA",47.0987497,-94.5802941
Warren-Alvarado-Oslo High School,115,Tiny,"Warren-Alvarado-Oslo Secondary School, 224 E Bridge Ave, Warren, MN 56762, USA",48.1951214,-96.7683816
Warroad High School,318,Small,"Warroad High School, Warroad, MN 56763, USA",48.9111111,-95.3291667
Waseca High School,522,Medium,"Waseca High School, 1717 2nd St NW, Waseca, MN 56093-2299, USA",44.0944075,-93.5096651
Watertown-Mayer High School,445,Small,"Watertown Mayer High School, 1001 Hwy 25 Shls NW, Watertown, MN 55388-9422, USA",44.9702329,-93.857038
Waterville-Elysian-Morristown H.S.,251,Small,"Waterville, MN 56096, USA",44.218853,-93.5680022
Waubun High School,119,Tiny,"Waubun High School, Waubun, MN 56589, USA",47.1809412,-95.9393546
Wayzata High School,3060,VeryLarge,"Wayzata High School, 4955 Peony Ln N, Plymouth, MN 55446, USA",45.0438525,-93.5094002
West Central Area School,205,Small,"West Central Area Secondary School, Barrett, MN 56311, USA",45.9111111,-95.8866667
West Lutheran High School,161,Tiny,"West Lutheran High School, 3350 Harbor Ln N, Plymouth, MN 55447-5255, USA",45.0182335,-93.4637105
Westbrook-Walnut Grove High School,135,Tiny,"Westbrook School District, 344 8th St, Westbrook, MN 56183-1116, USA",44.0441411,-95.4331517
Wheaton High School,129,Tiny,"Wheaton High School, Wheaton, MN 56296, USA",45.8008333,-96.5077778
White Bear Lake Area High School,2257,VeryLarge,"White Bear Lake Area High School - Insight, 2449 Orchard Ln, White Bear Lake, MN 55110-7509, USA",45.044154,-92.998774
Willmar High School,994,Medium,"Willmar Jr High School, Willmar, MN 56201, USA",45.1125,-95.0388889
Willow River High School,103,Tiny,"Willow River, MN, USA",46.3182794,-92.8413116
Windom Area High School,247,Small,"Windom Area High School, Windom, MN 56101, USA",43.8757908,-95.1308258
Win-E-Mac High School,122,Tiny,"WIN-E-MAC ELEMENTARY SCHOOL, Erskine, MN 56535, USA",47.6625,-96.011111
Winona High School,997,Medium,"Winona Senior High School, 901 Gilmore Ave, Winona, MN 55987-2580, USA",44.0466296,-91.6618156
Woodbury High School,1715,Large,"Woodbury High School, 2665 Woodlane Dr, Woodbury, MN 55125-2999, USA",44.9107119,-92.96151
Worthington High School,563,Medium,"Worthington Senior High School, 1211 Clary St, Worthington, MN 56187-2005, USA",43.6282971,-95.5969534
Wrenshall High School,86,Tiny,"Wrenshall High School, Wrenshall, MN 55797, USA",46.6169444,-92.3819444
Yellow Medicine East H.S.,252,Small,"Yellow Medicine, Minnesota, USA",44.7380445,-95.8564864
Zimmerman High School,546,Medium,"Zimmerman High School, 25900 4Th St, Zimmerman, MN 55398-9013, USA",45.4416667,-93.5930556
Zumbrota-Mazeppa High School,339,Small,"Zumbrota Mazeppa High School, Zumbrota, MN 55992, USA",44.2908333,-92.6727778
